exp,arm,depth,load_pct,size,trial,t0,submit,priority,alloc,start,finish,scout_start,scout_finish,bg_total,bg_done,work_s,load_cores,load_secs,timedout
e1,coscheduled,7,0,8,8,1788854505.329724424,1788854505.532548,1788854508.133301,1788854508.154716,1788854508.176450,1788854513.307691,1788854505.666812,1788854513.358741,1,1788854505.437770837,5,0,900,0
e1,baseline,7,0,8,9,1788854513.652336958,1788854513.844746,,1788854513.904883,1788854513.926771,1788854521.346472,,,1,1788854513.761061774,5,0,900,0
e1,coscheduled,7,0,8,9,1788854521.628193710,1788854521.829019,1788854524.430643,1788854524.452116,1788854524.473874,1788854529.605290,1788854521.963617,1788854529.656451,1,1788854521.736716247,5,0,900,0
e1,baseline,7,0,8,10,1788854529.951583745,1788854530.145523,,1788854530.206322,1788854530.228545,1788854537.648366,,,1,1788854530.060535338,5,0,900,0
e1,coscheduled,7,0,8,10,1788854537.925715607,1788854538.124976,1788854540.727494,1788854540.749040,1788854540.770814,1788854545.903178,1788854538.259937,1788854545.954165,1,1788854538.033964823,5,0,900,0
e1,baseline,14,0,8,1,1788854546.251094185,1788854546.443728,,1788854546.504171,1788854546.526100,1788854554.297474,,,1,1788854546.359754697,5,0,900,0
e1,coscheduled,14,0,8,1,1788854554.578153506,1788854554.779918,1788854557.732845,1788854557.755885,1788854557.777790,1788854562.909275,1788854554.915168,1788854562.958698,1,1788854554.685960174,5,0,900,0
e1,baseline,14,0,8,2,1788854563.253919435,1788854563.446788,,1788854563.507143,1788854563.529093,1788854571.298933,,,1,1788854563.360665812,5,0,900,0
e1,coscheduled,14,0,8,2,1788854571.576881978,1788854571.776603,1788854574.728599,1788854574.750215,1788854574.772051,1788854579.903679,1788854571.911511,1788854579.953281,1,1788854571.684324733,5,0,900,0
e1,coscheduled,14,0,8,3,1788854580.249664180,1788854580.449597,1788854583.399641,1788854583.422284,1788854583.444533,1788854588.575844,1788854580.583034,1788854588.625108,1,1788854580.357399715,5,0,900,0
e1,baseline,14,0,8,3,1788854588.915473850,1788854589.107785,,1788854589.168190,1788854589.190111,1788854596.959934,,,1,1788854589.022586761,5,0,900,0
e1,baseline,14,0,8,4,1788854597.241699205,1788854597.435827,,1788854597.496862,1788854597.519089,1788854605.288418,,,1,1788854597.350487907,5,0,900,0
e1,coscheduled,14,0,8,4,1788854605.564198562,1788854605.766993,1788854608.718480,1788854608.740102,1788854608.762012,1788854613.893803,1788854605.901485,1788854613.944196,1,1788854605.671935676,5,0,900,0
e1,coscheduled,14,0,8,5,1788854614.237268218,1788854614.440118,1788854617.390845,1788854617.413018,1788854617.435228,1788854622.565983,1788854614.574010,1788854622.615107,1,1788854614.345583233,5,0,900,0
e1,baseline,14,0,8,5,1788854622.905528167,1788854623.098555,,1788854623.159051,1788854623.181059,1788854630.950698,,,1,1788854623.014964809,5,0,900,0
e1,coscheduled,14,0,8,6,1788854631.230418220,1788854631.429827,1788854634.382749,1788854634.404372,1788854634.426296,1788854639.556695,1788854631.565122,1788854639.606257,1,1788854631.339090808,5,0,900,0
e1,baseline,14,0,8,6,1788854639.895189566,1788854640.088446,,1788854640.148956,1788854640.171019,1788854647.941318,,,1,1788854640.002565338,5,0,900,0
e1,baseline,14,0,8,7,1788854648.223412745,1788854648.417414,,1788854648.478604,1788854648.500970,1788854656.270528,,,1,1788854648.332037576,5,0,900,0
e1,coscheduled,14,0,8,7,1788854656.547793977,1788854656.747684,1788854659.698982,1788854659.721031,1788854659.743001,1788854664.876295,1788854656.882158,1788854664.925866,1,1788854656.657322126,5,0,900,0
e1,coscheduled,14,0,8,8,1788854665.220731345,1788854665.423007,1788854668.374603,1788854668.396282,1788854668.418226,1788854673.549560,1788854665.557213,1788854673.599874,1,1788854665.329678275,5,0,900,0
e1,baseline,14,0,8,8,1788854673.888689732,1788854674.081406,,1788854674.142219,1788854674.164420,1788854681.933827,,,1,1788854673.996547192,5,0,900,0
e1,coscheduled,14,0,8,9,1788854682.217384012,1788854682.417727,1788854685.370163,1788854685.392649,1788854685.414737,1788854690.545664,1788854682.552870,1788854690.595096,1,1788854682.324968565,5,0,900,0
e1,baseline,14,0,8,9,1788854690.889194503,1788854691.082994,,1788854691.143771,1788854691.165914,1788854698.935884,,,1,1788854690.998869721,5,0,900,0
e1,coscheduled,14,0,8,10,1788854699.215444875,1788854699.416787,1788854702.370085,1788854702.391853,1788854702.414164,1788854707.545727,1788854699.552225,1788854707.595482,1,1788854699.322668784,5,0,900,0
e1,baseline,14,0,8,10,1788854707.886111679,1788854708.079350,,1788854708.140025,1788854708.162146,1788854715.931709,,,1,1788854707.994049358,5,0,900,0
e1,coscheduled,100,0,8,1,1788854716.214847731,1788854716.414854,1788854723.674204,1788854723.696437,1788854723.718737,1788854728.849987,1788854716.550307,1788854728.900388,1,1788854716.323589142,5,0,900,0
e1,baseline,100,0,8,1,1788854729.192306099,1788854729.386143,,1788854729.448234,1788854729.470717,1788854741.547025,,,1,1788854729.299326732,5,0,900,0
e1,coscheduled,100,0,8,2,1788854741.847270735,1788854742.047396,1788854749.305725,1788854749.327700,1788854749.349921,1788854754.481589,1788854742.182731,1788854754.531893,1,1788854741.955052449,5,0,900,0
e1,baseline,100,0,8,2,1788854754.825991325,1788854755.018745,,1788854755.080298,1788854755.102712,1788854767.178655,,,1,1788854754.933656208,5,0,900,0
e1,baseline,100,0,8,3,1788854767.475632599,1788854767.668805,,1788854767.730252,1788854767.752719,1788854779.829938,,,1,1788854767.582770709,5,0,900,0
e1,coscheduled,100,0,8,3,1788854780.127142253,1788854780.327511,1788854787.585917,1788854787.607956,1788854787.630178,1788854792.761683,1788854780.462971,1788854792.812008,1,1788854780.235294815,5,0,900,0
e1,baseline,100,0,8,4,1788854793.110019093,1788854793.304482,,1788854793.366420,1788854793.388874,1788854805.465229,,,1,1788854793.217676251,5,0,900,0
e1,coscheduled,100,0,8,4,1788854805.762705289,1788854805.963440,1788854813.222656,1788854813.244782,1788854813.267040,1788854818.397649,1788854806.098892,1788854818.448357,1,1788854805.870187172,5,0,900,0
e1,baseline,100,0,8,5,1788854818.743959724,1788854818.937953,,1788854819.006153,1788854819.028577,1788854831.105306,,,1,1788854818.852293413,5,0,900,0
e1,coscheduled,100,0,8,5,1788854831.401436953,1788854831.601423,1788854838.860614,1788854838.882704,1788854838.904955,1788854844.036386,1788854831.737175,1788854844.086875,1,1788854831.509352092,5,0,900,0
e1,baseline,100,0,8,6,1788854844.381495588,1788854844.573933,,1788854844.635362,1788854844.657782,1788854856.734015,,,1,1788854844.489631183,5,0,900,0
e1,coscheduled,100,0,8,6,1788854857.012623699,1788854857.214473,1788854864.476141,1788854864.498359,1788854864.520605,1788854869.651967,1788854857.352716,1788854869.702621,1,1788854857.121654458,5,0,900,0
e1,baseline,100,0,8,7,1788854869.996337384,1788854870.190396,,1788854870.251891,1788854870.274451,1788854882.350751,,,1,1788854870.104521906,5,0,900,0
e1,coscheduled,100,0,8,7,1788854882.631696725,1788854882.833313,1788854890.092802,1788854890.115055,1788854890.137546,1788854895.270798,1788854882.968048,1788854895.321134,1,1788854882.739598500,5,0,900,0
e1,coscheduled,100,0,8,8,1788854895.615781741,1788854895.816222,1788854903.073489,1788854903.095883,1788854903.118278,1788854908.249135,1788854895.950682,1788854908.299624,1,1788854895.722653196,5,0,900,0
e1,baseline,100,0,8,8,1788854908.593181481,1788854908.785621,,1788854908.846914,1788854908.869385,1788854920.946479,,,1,1788854908.702640232,5,0,900,0
e1,coscheduled,100,0,8,9,1788854921.236534234,1788854921.436607,1788854928.697746,1788854928.719866,1788854928.742210,1788854933.873029,1788854921.573711,1788854933.923848,1,1788854921.343754505,5,0,900,0
e1,baseline,100,0,8,9,1788854934.213448061,1788854934.406621,,1788854934.468303,1788854934.490786,1788854946.568204,,,1,1788854934.320429468,5,0,900,0
e1,coscheduled,100,0,8,10,1788854946.850415263,1788854947.051307,1788854954.310869,1788854954.333034,1788854954.355404,1788854959.487643,1788854947.187363,1788854959.538077,1,1788854946.957636107,5,0,900,0
e1,baseline,100,0,8,10,1788854959.828011942,1788854960.020771,,1788854960.082405,1788854960.104905,1788854972.181804,,,1,1788854959.935475135,5,0,900,0
e1,baseline,491,0,8,1,1788854972.465969310,1788854972.660192,,1788854972.721698,1788854972.744218,1788855004.394168,,,1,1788854972.573191664,5,0,900,0
e1,coscheduled,491,0,8,1,1788855004.692199645,1788855004.893653,1788855031.727757,1788855031.750973,1788855031.773783,1788855036.905897,1788855005.029286,1788855036.955814,1,1788855004.799808320,5,0,900,0
e1,baseline,491,0,8,2,1788855037.251988084,1788855037.444725,,1788855037.506135,1788855037.528610,1788855069.184665,,,1,1788855037.359176351,5,0,900,0
